country,position,player
Algeria,GK,Oussama Benbot
Algeria,GK,Melvin Masstil
Algeria,GK,Luca Zidane
Algeria,DF,Achraf Abada
Algeria,DF,Rayan Ait Nouri
Algeria,DF,Zinedine Belaid
Algeria,DF,Rafik Belghali
Algeria,DF,Ramy Bensebaini
Algeria,DF,Samir Chergui
Algeria,DF,Jaouen Hadjam
Algeria,DF,Aissa Mandi
Algeria,DF,Mohamed Amine Tougai
Algeria,MF,Houssem Aouar
Algeria,MF,Nabil Bentaleb
Algeria,MF,Hicham Boudaoui
Algeria,MF,Fares Chaibi
Algeria,MF,Ibrahim Maza
Algeria,MF,Yassine Titraoui
Algeria,MF,Ramiz Zerrouki
Algeria,FW,Mohamed Amine Amoura
Algeria,FW,Nadir Benbouali
Algeria,FW,Adil Boulbina
Algeria,FW,Fares Ghedjemis
Algeria,FW,Amine Gouiri
Algeria,FW,Riyad Mahrez
Algeria,FW,Anis Hadj Moussa
Argentina,GK,Emiliano Martinez
Argentina,GK,Geronimo Rulli
Argentina,GK,Juan Musso
Argentina,DF,Leonardo Balerdi
Argentina,DF,Gonzalo Montiel
Argentina,DF,Nicolas Tagliafico
Argentina,DF,Lisandro Martinez
Argentina,DF,Cristian Romero
Argentina,DF,Nicolas Otamendi
Argentina,DF,Facundo Medina
Argentina,DF,Nahuel Molina
Argentina,MF,Leandro Paredes
Argentina,MF,Rodrigo De Paul
Argentina,MF,Valentin Barco
Argentina,MF,Giovani Lo Celso
Argentina,MF,Exequiel Palacios
Argentina,MF,Alexis Mac Allister
Argentina,MF,Enzo Fernandez
Argentina,FW,Julian Alvarez
Argentina,FW,Lionel Messi
Argentina,FW,Nicolas Gonzalez
Argentina,FW,Thiago Almada
Argentina,FW,Giuliano Simeone
Argentina,FW,Nicolas Paz
Argentina,FW,Jose Manuel Lopez
Argentina,FW,Lautaro Martinez
Australia,GK,Patrick Beach
Australia,GK,Paul Izzo
Australia,GK,Mathew Ryan
Australia,DF,Aziz Behich
Australia,DF,Jordan Bos
Australia,DF,Cameron Burgess
Australia,DF,Alessandro Circati
Australia,DF,Milos Degenek
Australia,DF,Jason Geria
Australia,DF,Lucas Herrington
Australia,DF,Jacob Italiano
Australia,DF,Harry Souttar
Australia,DF,Kai Trewin
Australia,MF,Cameron Devlin
Australia,MF,Ajdin Hrustic
Australia,MF,Jackson Irvine
Australia,MF,Connor Metcalfe
Australia,MF,Aiden O'Neill
Australia,MF,Paul Okon-Engstler
Australia,FW,Nestory Irankunda
Australia,FW,Mathew Leckie
Australia,FW,Awer Mabil
Australia,FW,Mohamed Toure
Australia,FW,Nishan Velupillay
Australia,FW,Cristian Volpato
Australia,FW,Tete Yengi
Austria,GK,Patrick Pentz
Austria,GK,Alexander Schlager
Austria,GK,Florian Wiegele
Austria,DF,David Affengruber
Austria,DF,David Alaba
Austria,DF,Kevin Danso
Austria,DF,Marco Friedl
Austria,DF,Philipp Lienhart
Austria,DF,Phillipp Mwene
Austria,DF,Stefan Posch
Austria,DF,Alexander Prass
Austria,DF,Michael Svoboda
Austria,MF,Christoph Baumgartner
Austria,MF,Carney Chukwuemeka
Austria,MF,Florian Grillitsch
Austria,MF,Konrad Laimer
Austria,MF,Marcel Sabitzer
Austria,MF,Xaver Schlager
Austria,MF,Romano Schmid
Austria,MF,Alessandro Schopf
Austria,MF,Nicolas Seiwald
Austria,MF,Paul Wanner
Austria,MF,Patrick Wimmer
Austria,FW,Marko Arnautovic
Austria,FW,Michael Gregoritsch
Austria,FW,Sasa Kalajdzic
Belgium,GK,Thibaut Courtois
Belgium,GK,Senne Lammens
Belgium,GK,Mike Penders
Belgium,DF,Timothy Castagne
Belgium,DF,Zeno Debast
Belgium,DF,Maxim De Cuyper
Belgium,DF,Koni De Winter
Belgium,DF,Brandon Mechele
Belgium,DF,Thomas Meunier
Belgium,DF,Nathan Ngoy
Belgium,DF,Joaquin Seys
Belgium,DF,Arthur Theate
Belgium,MF,Kevin De Bruyne
Belgium,MF,Amadou Onana
Belgium,MF,Nicolas Raskin
Belgium,MF,Youri Tielemans
Belgium,MF,Hans Vanaken
Belgium,MF,Axel Witsel
Belgium,FW,Charles De Ketelaere
Belgium,FW,Jeremy Doku
Belgium,FW,Matias Fernandez-Pardo
Belgium,FW,Romelu Lukaku
Belgium,FW,Dodi Lukebakio
Belgium,FW,Diego Moreira
Belgium,FW,Alexis Saelemaekers
Belgium,FW,Leandro Trossard
Bosnia and Herzegovina,GK,Nikola Vasilj
Bosnia and Herzegovina,GK,Martin Zlomislic
Bosnia and Herzegovina,GK,Osman Hadzikic
Bosnia and Herzegovina,DF,Sead Kolasinac
Bosnia and Herzegovina,DF,Amar Dedic
Bosnia and Herzegovina,DF,Nihad Mujakic
Bosnia and Herzegovina,DF,Nikola Katic
Bosnia and Herzegovina,DF,Tarik Muharemovic
Bosnia and Herzegovina,DF,Stjepan Radeljic
Bosnia and Herzegovina,DF,Dennis Hadzikadunic
Bosnia and Herzegovina,DF,Nidal Celik
Bosnia and Herzegovina,MF,Amir Hadziahmetovic
Bosnia and Herzegovina,MF,Ivan Sunjic
Bosnia and Herzegovina,MF,Ivan Basic
Bosnia and Herzegovina,MF,Dzenis Burnic
Bosnia and Herzegovina,MF,Ermin Mahmic
Bosnia and Herzegovina,MF,Benjamin Tahirovic
Bosnia and Herzegovina,MF,Amar Memic
Bosnia and Herzegovina,MF,Armin Gigovic
Bosnia and Herzegovina,MF,Kerim Alajbegovic
Bosnia and Herzegovina,MF,Esmir Bajraktarevic
Bosnia and Herzegovina,FW,Ermedin Demirovic
Bosnia and Herzegovina,FW,Jovo Lukic
Bosnia and Herzegovina,FW,Samed Bazdar
Bosnia and Herzegovina,FW,Haris Tabakovic
Bosnia and Herzegovina,FW,Edin Dzeko
Brazil,GK,Alisson
Brazil,GK,Ederson
Brazil,GK,Weverton
